,dist_arc1,dist_arc2,dist_arc3,dist_arc4,nearest_archetype
TCGA-A7-A0D9-01,442.0989489340212,706.8560699840963,430.79927350821646,421.15061628664824,4
TCGA-E2-A14R-01,431.22516949199456,697.1087767188391,431.1670345192219,408.55645541750783,4
TCGA-GM-A3XN-01,439.1946195815168,707.2947654360121,434.7028348936371,421.95423708574543,4
TCGA-A8-A06Y-01,433.3149059800074,695.3258445330475,417.5611375708534,409.516242583346,4
TCGA-E2-A1IK-01,429.94194312603315,693.4039485776927,417.14038078723036,407.56117259624756,4
TCGA-E2-A1IU-01,441.52504825744137,702.4009403361937,424.9031572025201,415.60835854163497,4
TCGA-BH-A0E2-01,444.6135398210128,711.4757208063305,439.20547532950343,425.024680856182,4
TCGA-A2-A0CZ-01,433.4352265256029,702.2538253044243,433.1682738859977,416.17252763645587,4
TCGA-AR-A2LE-01,435.65834627621626,700.1775822301518,425.3105869342099,413.9249143764829,4
TCGA-A8-A0A1-01,436.68806856852166,702.4539602115686,428.77877291273734,416.26850964701606,4
TCGA-E2-A1L7-01,449.4859651666643,717.744099284044,443.7733752750262,432.81870322289524,4
TCGA-E2-A14T-01,442.8780429902498,707.3408271520968,429.0855707016551,422.82578019786735,4
TCGA-AC-A5EH-01,436.10003188956495,701.2324883308601,429.07944153305334,414.04163515338763,4
