,arc1,arc2,arc3,arc4,arc5,arc6,arc7
KDM1A,6.269382523256337,5.657485244865734,5.445134408521044,5.9583692659238245,6.008783618631535,6.284760591262392,5.451080289345653
RBM6,5.313984012910621,4.923648143955605,6.282536574237925,5.759985972274727,6.101201425072617,4.642617530734161,4.510405688112307
CAMKK1,1.517074542400257,2.3424048587171526,2.7070187416909532,2.0183477631456714,3.2926750624423997,1.098677113326067,2.3569946783429034
RECQL,6.4156342461099625,5.879338944609872,5.856535114814296,5.8261226639279355,5.822606381900315,4.941124471451753,4.895165442694448
HSPB6,0.7315832479556388,3.691630472039077,2.468476913979398,2.7944895477517457,2.87553021135491,-2.657485082382732,1.103793592668322
ARHGAP33,3.3424344029139617,1.9071750443678699,3.9170121080173788,3.9336021857496912,3.996348205570273,2.728737145327898,3.6372777163866177
NDUFAB1,7.551250257251386,7.00725417756933,7.486355084268529,7.048944028293576,6.974842692598764,7.431869144994889,6.712209483011049
PDK4,0.4727437040893978,2.023392985555922,3.050458641766995,0.6447950910128618,1.6421565934027496,-0.03270654637842796,-1.309040285768699
ZMYND10,0.41669364718333113,1.0949293565262648,1.7783152185377777,0.8819973942734436,1.196741651054124,0.5361919720656648,0.2964655245208949
ABCB5,-0.21549661136352366,0.641200289409569,0.005535969528271345,0.87356773319252,0.003386596537283182,0.090666870955046,0.44025204668678836
ARX,-0.1225550506152755,0.058624608134160594,1.5532109432141445,-0.0058744923656363635,0.12811370046301007,0.11695451646063808,0.027251704643011965
SLC25A13,4.36340420037753,4.650202551792961,5.855517996940224,4.900684034618849,5.09904939396294,4.907054529998072,5.223658570140814
ST7,3.864683949589775,4.112957678925477,4.3543001818155,4.328986151918069,3.9588311918322514,3.778313741935958,3.7970938637115346
CDC27,6.740734256177398,5.484072732028689,6.277667684586855,6.487208080936165,6.489035048801262,5.837719748055139,5.528213416463549
CALCR,0.420251949800176,-0.05599359009690158,0.42969366458249847,0.03761786780972794,-0.047814113745701686,0.43490904236918637,0.02197919375622029
HCCS,5.3237587446300125,4.9278389769703885,5.708866839645907,5.638875271897809,4.881385696040896,5.424702102699194,4.892141367439411
DVL2,5.147784694439616,4.605390796281363,5.501422090762196,5.373247948210803,5.788395639850597,4.839067250456196,5.125370385225724
PRSS22,0.9035713785505373,-0.056621545764584724,0.221442087004461,0.5059240720560952,-0.11465093706119989,2.045412640328765,-0.038053283614766786
UPF1,5.106435554951393,4.157427234331828,5.246249851513764,5.08259425056394,5.018285861992077,4.477914592885002,4.896637169836338
SKAP2,5.276888140577107,3.8235206471601613,4.705311951094861,4.7536310793026875,4.715586599851864,5.093918525214744,5.377562907149068
SLC25A5,9.58742266663054,8.768006201112252,9.534937818922176,9.098266644507435,8.766636206580664,9.476196984723018,8.37456414103555
HOXA11,0.7338456385797771,1.3890168531134446,0.4244005518962204,1.374872390204458,1.1779058805789806,0.44978812231959275,0.2831664508227273
POLR2J,6.495697982711592,6.940766402907725,7.430947748021844,6.281935705754117,7.075790729947672,6.478447953061462,7.104725731344617
DHX33,4.095914629601474,2.8739593581570286,4.545048715319295,3.9359313248166616,3.9723676365895413,3.507277164972098,3.1651417946871043
MEOX1,0.8998995275487285,0.10590582957362965,-0.16170094622603093,0.7139134487023989,0.24152308709928652,0.46134993186213746,0.7739083621060145
THSD7A,0.062090931166524754,0.9572960957821699,1.3921588544684853,0.5492793029842962,1.2645486435527595,-0.47368549145308303,0.29158615398626814
LIG3,4.601095670535331,3.0937998852043007,4.793804055705734,4.416080824841451,4.7876870577226,3.8726486937517133,4.898933010704906
RPAP3,5.602522350954815,4.701254221625535,5.114930051772494,5.086812198626478,5.058658218616794,5.173542279799532,3.9038242390071396
ACSM3,2.059827017149505,0.6453811412547826,1.17300429553618,1.6842102317335663,1.2138119332004704,1.65370029447786,1.1451484476670637
